# FeHinit Minit FeH sigma_FeH FeH_low FeH_high sigma_FeH_low sigma_FeH_high
-4.0 7.377096 -1.2838829999999999 0.621425 -1.311144 -1.255904 0.570744 0.698848
-4.0 7.427147999999999 -1.270646 0.606457 -1.296476 -1.2469880000000002 0.5600280000000001 0.666008
-3.25 3.977479 -3.25 0.0 -3.25 -3.25 0.0 0.0
-3.25 4.026254 -3.25 0.0 -3.25 -3.25 0.0 0.0
-3.25 4.076192 -3.25 0.0 -3.25 -3.25 0.0 0.0
-3.25 4.127160000000001 -3.25 0.0 -3.25 -3.25 0.0 0.0
-3.25 4.1765550000000005 -3.249995 5e-06 -3.25 -3.25 0.0 0.0
-3.25 4.2265809999999995 -3.249983 2.8999999999999997e-05 -3.25 -3.25 0.0 0.0
-3.25 4.277002 -3.2497130000000003 0.000361 -3.25 -3.25 0.0 0.0
-3.25 4.326423 -3.2498069999999997 0.0003850000000000001 -3.25 -3.25 0.0 0.0
-3.25 4.376204 -3.249691 0.0005299999999999999 -3.25 -3.25 0.0 0.0
-3.25 4.427269 -3.248184 0.002538 -3.25 -3.2499 0.0 0.0001
-3.25 4.476028 -3.2463439999999997 0.005955 -3.25 -3.2499 0.0 0.0001
-3.25 4.526928 -3.247595 0.004079 -3.25 -3.2496519999999998 0.0 0.0008599999999999966
-3.25 4.576662 -3.242332 0.011737 -3.25 -3.240152 0.0 0.022039999999999997
-3.25 4.626856 -3.2413019999999992 0.015744 -3.25 -3.2354800000000004 0.0 0.024719999999999978
-3.25 4.6778900000000005 -3.237715 0.020723000000000002 -3.25 -3.225384 0.0 0.046615999999999984
-3.25 4.726669000000001 -3.235798 0.026362999999999998 -3.25 -3.210484 0.0 0.08026399999999997
-3.25 4.777557 -3.22729 0.041261 -3.25 -3.189728 0.0 0.11001999999999997
-3.25 4.827124 -3.227591 0.03932299999999999 -3.25 -3.194476 0.0 0.11573999999999995
-3.25 4.876807 -3.2210739999999998 0.054728000000000006 -3.25 -3.190752 0.0 0.134996
-3.25 4.92768 -3.213528 0.063278 -3.25 -3.169808 0.0 0.153
-3.25 4.976927 -3.2021759999999997 0.07899199999999999 -3.25 -3.1393319999999996 0.0 0.178724
-3.25 5.027191 -3.188922999999999 0.09833700000000001 -3.24656 -3.1347199999999997 0.005895999999999999 0.20458
-3.25 5.077382999999999 -3.1865279999999996 0.10543699999999999 -3.246016 -3.1106 0.00614 0.200192
-3.25 5.126765000000001 -3.159124 0.14016 -3.2422959999999996 -3.092136 0.018788 0.219648
-3.25 5.177181000000001 -3.1345419999999997 0.17217 -3.210856 -3.077372 0.077112 0.237964
-3.25 5.227115 -3.1181280000000005 0.18154600000000007 -3.196108 -3.052576 0.108768 0.249664
-3.25 5.276953 -3.0887290000000003 0.20672000000000001 -3.176012 -3.008896 0.13103199999999998 0.273576
-3.25 5.327277000000001 -3.076738 0.21313 -3.163112 -2.983388 0.138896 0.27922
-3.25 5.376885 -3.0374809999999997 0.24319 -3.118728 -2.939928 0.187724 0.301524
-3.25 5.426988 -3.001123 0.25331699999999996 -3.0961 -2.888184 0.190392 0.31031200000000003
-3.25 5.477187999999999 -2.9948629999999996 0.27386 -3.058792 -2.919668 0.223972 0.32043599999999994
-3.25 5.526962999999999 -2.940635 0.291113 -3.025608 -2.863236 0.24348399999999998 0.33544799999999997
-3.25 5.577597999999999 -2.9011289999999996 0.308588 -2.9873719999999997 -2.82202 0.271496 0.349096
-3.25 5.627085999999999 -2.836715 0.321401 -2.925856 -2.735628 0.284456 0.361864
-3.25 5.677262000000001 -2.821696 0.332261 -2.892076 -2.74222 0.29698 0.37324799999999997
-3.25 5.727176999999999 -2.759810999999999 0.3396489999999999 -2.845736 -2.668596 0.296468 0.389664
-3.25 5.776954999999998 -2.7039749999999994 0.343823 -2.7753560000000004 -2.634796 0.30592400000000003 0.379708
-3.25 5.827395 -2.6442389999999993 0.34843099999999994 -2.7017160000000002 -2.567084 0.308456 0.393308
-3.25 5.876990999999999 -2.5888050000000002 0.34777 -2.652756 -2.528304 0.30194800000000005 0.40888399999999997
-3.25 5.927199000000001 -2.544326 0.346126 -2.607364 -2.4756639999999996 0.285404 0.398296
-3.25 5.9770449999999995 -2.482478 0.34183100000000005 -2.525344 -2.4328719999999997 0.29124 0.379804
-3.25 6.027075999999999 -2.4276790000000004 0.339998 -2.469748 -2.372968 0.286044 0.40066399999999996
-3.25 6.077165999999998 -2.3668009999999997 0.327884 -2.414364 -2.3240800000000004 0.272668 0.38062
-3.25 6.1270489999999995 -2.313848 0.326862 -2.3602239999999997 -2.266936 0.278884 0.36888000000000004
-3.25 6.1771759999999984 -2.265328 0.32677300000000004 -2.3042920000000002 -2.2247559999999997 0.281552 0.37098
-3.25 6.227124 -2.1979479999999993 0.3311330000000001 -2.2451119999999998 -2.152464 0.28227199999999997 0.377932
-3.25 6.277100000000001 -2.142068 0.33459800000000006 -2.1850359999999998 -2.096772 0.277752 0.396076
-3.25 6.327125 -2.0450730000000004 0.36308399999999996 -2.115508 -1.9695360000000002 0.296688 0.429512
-3.25 6.377112999999998 -1.9623639999999998 0.3841050000000001 -2.0258719999999997 -1.893456 0.32428399999999996 0.444312
-3.25 6.427116 -1.855431 0.418434 -1.93604 -1.782792 0.356876 0.484316
-3.25 6.477251 -1.7430420000000004 0.441029 -1.791276 -1.6970200000000002 0.38894 0.497224
-3.25 6.527137999999999 -1.6680280000000003 0.4776729999999999 -1.7017120000000001 -1.63608 0.426448 0.543252
